replay_idx,beatmap_name,mod_str,nm_stars,neg_loglik_FC,neg_loglik_SS_given_FC
722,Fractal Dreamers - Gardens Under A Spring Sky [Hyper],HD,4.67013489,4.913209238,45.25338501
6,07th Expansion - rog-limitation [Hard],DT,3.245970501,4.90908652,19.42152385
72,toby fox - Hopes and Dreams [Insane],HDDT,3.999426737,4.893310796,16.93104959
475,MIMI feat. Hatsune Miku - Marshmary [Insane],DT,4.541266365,4.879148653,10.7253832
140,Ryu* - I'm so Happy [Extreme],NM,4.960661359,4.876481276,26.37622202
948,RADWIMPS - Yume Tourou [Insane: Taki],NM,4.80720022,4.869208801,24.14931526
873,Mitsuki Kotono - Fuyu ni Saku Hana [Nostalgia],HD,5.449980409,4.857687267,20.28169799
764,BLACKPINK - Pink Venom [Taste That!],NM,4.652882638,4.85608887,21.16039372
327,"Wake Up, May'n! - One In A Billion [Rosiie's Insane]",NM,4.59351047,4.848754352,22.11675164
668,ALTIMA - I'll believe (TV size) [P A N's Insane],HDDT,4.540635144,4.84549439,24.40184523
96,Rokudenashi - Tada Koe Hitotsu [Hard],HDDT,3.27486205,4.84505076,30.55094013
830,Hanatan - Torinoko City [Insane],HDDT,3.829049407,4.836980841,30.35140766
285,EVO+ - [A]ddiction [117's Insane],NM,4.153993926,4.812724231,33.20950804
446,Various artists - Spaced Streams Compilation [code crimson],HD,5.564377423,4.81003834,14.31288956
141,Ishihara Kaori - Plastic Smile (TV Size) [My Angel Nymphe's Insane],HDDT,4.528015013,4.807234193,15.75842068
933,S3RL - Bass Slut (Original Mix) [Indecent Insane],HDDT,4.610647091,4.802075292,10.31673906
939,Spira Spica - Sansan Days (TV Size) [Insane],HDDT,4.637534345,4.801240812,9.141351907
105,ClariS - SHIORI -TV size mix- [Extra],NM,5.300088198,4.799407751,12.98779979
273,technoplanet - Juvenile [Insane],NM,4.675072571,4.79911982,35.75359813
401,kradness&Reol - Remote Control [Max Control!],DT,5.724851834,4.773086372,30.95933414
562,Sasaki Shiori - Indigo Star [Insane],HDDT,4.16237812,4.765727886,29.32502863
276,Kicco - Amazing sky [Momoka's Insane],HDDT,4.107455783,4.749079477,19.36894199
621,Masayuki Suzuki - DADDY ! DADDY ! DO ! feat. Airi Suzuki (TV Size) [Kujinn's EXPERT !],DT,4.353794303,4.702892101,10.58829453
