beatmap_name,mods,stars_live,neg_loglik_SS
IOSYS - Cirno Chirumiru [Insane],NM,4.863408665414928,38.38910448620092
Busdriver - Imaginary Places [NeBu's Speed Demon],NF,6.920791208741801,38.265166403610095
Charlie Darker & Far Too Loud - Nail Gun (Short ver.) [CIDOR Diff EzRX],NM,7.908704833575089,38.26054230911063
katagiri - The Eve of the Breakcore Revolution [Extra],NF,6.735443720327536,38.194295892589885
Yuaru - Asu no Yozora Shoukaihan (Speed Up Ver.) [Together],NM,8.226456986495114,37.91640952323783
ZUN - Dark Side of Fate [Lunatic],NM,4.784486675442235,37.858938923454545
Carlito - Poco Loco [pinata why u explode],NM,8.38046863138218,37.83196170372794
Rings of Saturn - Senseless Massacre [Fenza's Genocide],NM,6.911083756179057,37.70765715283609
DECO*27 - First Storm feat. Hatsune Miku [my Drops of Tears I'll turn to Sparks of Fire],NM,6.656586255846911,37.631524571550656
positive MAD-crew - Mynarco [Extra],NM,5.5173878131160485,37.55176216865524
HyuN - Infinity Heaven [Ad Infinitum],NM,4.783571013058691,37.53193640828859
Nitta emi - Heart beat [Arles],NM,7.553343634511472,37.06832729633855
GYZE - HONESTY [HEART OF SORROW],NM,5.331063822637043,37.04589821020546
MYTH & ROID - Paradisus-Paradoxum [rem best girl],NM,7.388454296254197,37.024864165298865
Tatsh - Xevel [Extreme],NM,6.028566651349871,36.92535464794639
onoken - Viden [Extreme],HD,5.701253135312754,36.90513622261127
Mutsuhiko Izumi - Chinese Snowy Dance [Insane],NM,4.722981584904357,36.88188218762137
Xanthochroid - In Putris Stagnum [Neverending],NM,7.615721168663508,36.85394470393621
Imperial Circus Dead Decadence - Chinurareta Shuren ni Fukeru Houmura [Despair],NM,7.980034408605452,36.63123322835959
"Virtuanoise, Cosmo, Arcek & Zigurat - 4 Aliens At Work [CM vs. N vs. NB vs. T : Fourth day nonstop working in demand]",NM,7.885682284263105,36.595214348118546
II-L - VOSTOK-3 [Basic],NM,7.091104269249368,36.49317360828685
Thaehan - Doki-Doki [Extremerino],HD,5.830085535283429,36.32326383141939
xi - Blue Zenith (Cut Ver.) [A r M i N's Extreme],NM,6.06052716500621,36.30890844897117
Mrs. GREEN APPLE - Ao to Natsu (katagiri Bootleg) (Sped Up Ver.) [Summer],NM,9.217350507001605,36.18610671860551
nmk - sola [Extra],NM,5.696060151536302,35.822645402554365
SYU (from GALNERYUS) - REASON [Meaning of Life],NM,5.925470137394992,35.7146724973022
