hidden_layer_count,hidden_layer_size,dropout_percent,init_learning_rate,decay_step_count,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6,val_loss_7
3,256,0.2,0.0001,10,5.139246940612793,4.641900062561035,4.680896759033203,4.726021766662598,4.606841087341309,4.576615810394287,4.605719566345215,4.638945579528809,1.563978910446167,2.0910868644714355,1.801156997680664,1.413611650466919,2.5479159355163574,1.3387089967727661,1.7131935358047485,1.1962683200836182
3,256,0.1,0.01,1000,0.5253481268882751,0.3975718915462494,0.4011482000350952,0.4078141450881958,0.4002750515937805,0.39583620429039,0.39503389596939087,0.39714568853378296,0.26308295130729675,0.22692301869392395,0.29336148500442505,0.20860907435417175,0.31912052631378174,0.2783967852592468,0.30958783626556396,0.2620023488998413
3,256,0.1,0.01,100,0.6173526048660278,0.3541536331176758,0.3557377755641937,0.3592104911804199,0.34892815351486206,0.3481425344944,0.349391907453537,0.3518631160259247,0.22766812145709991,0.2498471885919571,0.36489903926849365,0.27103570103645325,0.3276645541191101,0.27261078357696533,0.23744525015354156,0.284257173538208
3,256,0.1,0.01,10,0.5772751569747925,0.3746905028820038,0.37943366169929504,0.3827230632305145,0.3722558319568634,0.3716268539428711,0.3727993667125702,0.3747973144054413,0.32112979888916016,0.35221239924430847,0.30435287952423096,0.37186941504478455,0.2730431854724884,0.20484474301338196,0.22568948566913605,0.2868754267692566
3,256,0.1,0.001,1000,0.5175729393959045,0.35124626755714417,0.3527321517467499,0.3557087182998657,0.3446880877017975,0.34293970465660095,0.3435833752155304,0.3454470634460449,0.20919354259967804,0.20114177465438843,0.3352460265159607,0.24807819724082947,0.2523364722728729,0.2625357508659363,0.20617015659809113,0.1987711787223816
3,256,0.1,0.001,100,0.4972589313983917,0.3545804023742676,0.3570496737957001,0.3608227074146271,0.3506287932395935,0.3495027720928192,0.3510986268520355,0.352899968624115,0.23025360703468323,0.2292206883430481,0.23500391840934753,0.2640962600708008,0.25664275884628296,0.2383285015821457,0.239803746342659,0.23382432758808136
3,256,0.1,0.001,10,0.5990413427352905,0.46192067861557007,0.4649585783481598,0.47052162885665894,0.4580952823162079,0.4555968940258026,0.4587935507297516,0.4605606496334076,0.28619876503944397,0.2754579782485962,0.34709203243255615,0.28769513964653015,0.27448320388793945,0.3418724536895752,0.2293136715888977,0.358419805765152
3,256,0.1,0.0001,1000,1.1471688747406006,0.3746740221977234,0.36238163709640503,0.36121633648872375,0.3491508662700653,0.3465418815612793,0.34738850593566895,0.3488800823688507,0.32215219736099243,0.24119709432125092,0.20399443805217743,0.24978511035442352,0.26372045278549194,0.2061048448085785,0.33943286538124084,0.2323586791753769
3,256,0.1,0.0001,100,1.6210463047027588,0.42749646306037903,0.41349896788597107,0.41533565521240234,0.40356314182281494,0.40144607424736023,0.4039997160434723,0.40563520789146423,0.2462477833032608,0.2799988389015198,0.30232805013656616,0.3394392132759094,0.3016595244407654,0.28580591082572937,0.23982694745063782,0.2769169211387634
3,256,0.1,0.0001,10,3.483320713043213,3.2144792079925537,3.238222122192383,3.2638742923736572,3.172513961791992,3.14617919921875,3.1774706840515137,3.2123165130615234,1.5176490545272827,1.3190966844558716,1.95333993434906,1.2094740867614746,1.828028678894043,2.2219667434692383,1.6682167053222656,0.9742534160614014
3,256,0.05,0.01,1000,0.6209704875946045,0.3734578490257263,0.3989581763744354,0.4074436128139496,0.39522114396095276,0.39564377069473267,0.3950040936470032,0.3967927098274231,0.1962960660457611,0.26907292008399963,0.32280364632606506,0.19555704295635223,0.34501922130584717,0.305144727230072,0.38875848054885864,0.2703338861465454
3,256,0.05,0.01,100,0.649745523929596,0.39671391248703003,0.40157994627952576,0.406311959028244,0.3950392007827759,0.396069198846817,0.39542436599731445,0.3971233367919922,0.29765784740448,0.3751548230648041,0.363041490316391,0.360348641872406,0.30809178948402405,0.27667441964149475,0.30494770407676697,0.3787698745727539
3,256,0.05,0.01,10,0.8837593197822571,0.39845433831214905,0.40285325050354004,0.40980830788612366,0.3965374529361725,0.39741405844688416,0.3967852294445038,0.3983844816684723,0.23321080207824707,0.2729306221008301,0.3391839563846588,0.3258360028266907,0.201662078499794,0.2570750117301941,0.2360425591468811,0.27810752391815186
3,256,0.05,0.001,1000,0.5325223803520203,0.3520512282848358,0.3534940779209137,0.35636818408966064,0.3454848825931549,0.3428965210914612,0.34437811374664307,0.3456017076969147,0.27465832233428955,0.24937671422958374,0.15653404593467712,0.3055483102798462,0.3763652741909027,0.2724567651748657,0.246393620967865,0.17839854955673218
