replay_idx,beatmap_name,mod_str,nm_stars,num_objects,neg_loglik_SS,neg_loglik_S,neg_loglik_FC
241,toby fox - Finale [Determination],HD,5.799902745097056,575,50.082233332538756,12.55958044623672,9.95386906211926
242,OxT - Silent Solitude [Ipas' Insane],NM,4.103263523839131,554,30.71392785174347,7.078908885505913,5.782111605535708
243,Carlito - Poco Loco [pinata why u explode],NM,8.38046863138218,1013,153.55714608846924,88.3778698093008,85.25414194002087
244,DJ Okawari - Flower Dance (Short Ver.) [Dance],NM,6.01327390016996,804,84.22272768014456,34.859843490041555,32.47592854900175
245,Mitsunori Ikeda ft. Aimee B - Fallen Angel (El Poco Maro Remix) [Ascension],DT,5.03501707616257,1544,178.1365961217731,51.19801024673016,37.77850716772461
246,Calliope Mori x Gawr Gura x DECO*27 - Q [Queen],NM,6.034200901221582,643,57.21752023701789,19.870709527783887,16.897207463451068
247,Set It Off - Horrible Kids [Cataclysm],NM,5.901080833393044,241,15.918388076128986,6.134159845793737,5.822710156111389
248,IOSYS - Usatei 2011 [Ozzy's Extra],DT,5.503143950255733,656,101.38694371978364,33.16705545740936,21.04008810718339
249,96neko - Uso no Hibana [NiNo's Extra],NM,6.103744691015577,912,80.3291430929008,23.302262951173795,18.901545369944454
250,Void - Just Hold on (To All Fighters) [Beginning],NM,6.105086622017596,2041,561.4632031808645,163.90016878744078,97.76399213302128
251,Petit Rabbit's - No Poi! (nenpulse bootleg remix) [Rizia's Insane],HDDT,4.825472195574177,1095,97.57873760017222,26.53620050980527,20.927383881312345
252,"nano - Star light, Star bright (TV Size) [browiec's Extra]",HDDTHR,6.031261587679618,389,32.41810585547493,13.873923536830231,12.675769094019357
253,Roselia - -HEROIC ADVENT- [-SHIZUKU'S EXPERT-],HD,5.379618955901951,865,57.33031104645474,14.745717436352646,12.349924439466976
254,Hommarju feat. Latte - masterpiece [Insane],HR,4.687747321591836,594,38.397241298992036,8.08136465386915,6.364141341818448
255,Gekidan Record feat. Nekomata Master - Houkou Orpheus [Expert],NM,4.946174058936331,599,74.55802894424434,20.924676314160035,15.414616008042415
256,Hayley Williams - Airplanes (Feint Drum and Bass Remix) [Insane],EZHDDT,3.596974457610444,144,10.515634726988427,6.0949491561609195,5.891339357055591
257,Azusa Tadokoro - Koroaruki [Extra],NM,6.1912790373750015,963,77.78642074973916,21.480845594852106,17.496139557374363
258,Kurosaki Maon - Gravitation (TV Size) [Imagine Breaker],NM,6.796460523767266,383,26.931524415728905,10.41219838433936,9.616974665736192
259,Roselia - Six Trillion Years and Overnight Story [Normal],HDNCHRSD,2.354580580807153,184,8.159477239864447,1.418568751751467,1.125335237661532
260,"Yamaguchi Rikako, Asakura Momo, Taneda Risa, Suwa Ayaka, Natsukawa Shiina - UNION!! [Pino's 4MIX]",HDHRFL,3.3505622491501486,389,17.742339868270005,3.237601759745482,2.3431431931276547
261,Hoshimachi Suisei with Hololive Fantasy - Saga Jihen [newteurre's Extra],NM,5.208883789338212,880,74.48458308646502,27.461768934809157,23.548324895649618
262,Saint Snow - DROPOUT!? [Kowari's Extra],NM,5.802104861869131,1321,168.4826508840778,38.95712061826285,23.751364180866098
263,IOSYS - Endless Tewi-ma Park [Tewi 2B],NM,2.697355316742219,248,20.919653401396705,3.5984143539715814,2.5776120984872852
264,Thaehan - Doki-Doki [Extremerino],HD,5.830085535283429,708,80.91887329765925,24.66320768617802,19.220712025751002
265,Foreground Eclipse - Song's Compilation [Flames Within These Black Feathers],NF,6.7562334988081725,313,44.28222928616965,17.172214539874417,14.166737799158078
266,Hiro - Carol Mega Mix [Yokes' Hidden Presents],HD,5.58268246831757,1072,187.01672301571273,65.57960512265377,51.568074917658535
267,Ye Mao - Red Sun In The Sky [Insane],NM,4.543203657605347,297,18.722860555973902,6.329980236253214,5.851946794033296
268,Ata - Euphoria [Ultimate Power],HD,8.459031951547505,2356,403.4388471672785,145.36350299203724,115.26008755026425
269,"Arata Iiyoshi, Hideki Sakamoto, Keisuke Ito - Boss Battle! [Challenge!]",NM,5.9355734019872255,199,17.450952413191313,6.16484620070932,5.409646509008159
270,Sayuri x MY FIRST STORY - Reimei (TV Size) [xChippy's Extra],HDHR,5.944020268575806,413,24.093130198025047,6.761536756693323,5.897151221755993
271,Nasko - Break Through [Extra],DT,5.0661913700644075,647,31.13456031904037,15.624101743393483,14.790696224814026
272,team Umifure - DEEP BLUE TOWN e Oide yo [Mir's Expert],NM,5.02526082452507,868,71.91780051759918,18.31217457758241,14.627530124555925
