beatmap_name,mods,stars,pp_SS
Official HIGE DANdism - Mixed Nuts (TV Size) [CODE_NAME:THORN_PRINCESS],NM,5.989166975092065,32.86416105540554
Caramell - Caramelldansen (Ryu* Remix) (Nightcore Mix) [Collab],NM,5.4761050122910815,39.33728929860241
KISIDA KYODAN & THE AKEBOSI ROCKETS - Shitteru? Madousho wa Donki ni mo Naru no yo [shitteru?],HDPF,6.414647083165329,30.241658101182257
Fleshgod Apocalypse - The Violation [pishi's Extra],NF,6.637892041289769,39.5988278672583
Kevin Sherwood - Archangel [Deadly Angel],DT,6.830417723065915,46.38549001344269
Ayalis - Ai o Chikaishi Hime Kazari [captin's Extra],HDHR,6.32403255360135,33.32933476116372
Mikami Shiori - Shiawase Gift [Akariiin!],HD,4.884525312251652,32.32534012241818
Adust Rain - psychology [Subconscious],NM,7.801116585919328,32.37704810559593
Yooh - Ice Angel [Saint],HDHR,5.498326216885736,52.97790222418708
GYZE - HONESTY [DISHONEST],NM,7.114507345131963,56.756101198712486
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Marathon]",NM,7.834115156107909,50.31067043241178
Toby Fox - Rude Buster [Insane],HDDT,4.254694096435273,28.028574393542172
Serenity - Lionheart [Expert],HD,5.709619029031604,51.21132889538535
Kakka - lonely pirouette [gazimal's expert],NM,5.924863120270178,34.67674690585858
MIMI feat. Hatsune Miku - Ai no Sukima (Rock Cover) [Log Off Now's Expert],NM,5.916212651604204,30.216545735223416
xi remixed by cosMo@bousouP - FREEDOM DiVE [METAL DIMENSIONS] [METAL DIMENSIONS],NM,7.151588852232578,51.404657235220256
inabakumori - Tokoshizume [Mahiru's Expert],HD,5.121103680285343,29.893625673425106
Mio Yamazaki - Noise (English ver.) [Extreme],NM,6.871458122200871,26.5812132903207
sHimaU - Slotcore is Dead [Poltergeist],NM,6.979193822561406,43.21122701359921
kors k - Playing With Fire [toying with flame],NM,6.233767004144073,39.19552769494744
technoplanet - Juvenile [Extra],HR,5.818159695827312,46.40209711339172
The Cro-Magnons - Totsugeki Rock [Sotarks no Jutsu],HR,6.454149222730589,27.27551860543035
